Company,Percentage,Count,Gender,Race,job_category
Adobe,0.753979335381178,54,Male,Hispanic_or_Latino,Executive and manager
Adobe,17.4951130969003,1253,Male,White,Executive and manager
Adobe,0.363027087405753,26,Male,Black_or_African_American,Executive and manager
Adobe,4.53783859257191,325,Male,Asian,Executive and manager
Adobe,0.20943870427255,15,Male,Minorities ,Executive and manager
Adobe,0.698129014241832,50,Female,Hispanic_or_Latino,Executive and manager
Adobe,7.66545657637531,549,Female,White,Executive and manager
Adobe,0.12566322256353,9,Female,Black_or_African_American,Executive and manager
Adobe,3.44875733035465,247,Female,Asian,Executive and manager
Adobe,0.181513543702876,13,Female,Minorities ,Executive and manager
Adobe,1.04719352136275,75,Male,Hispanic_or_Latino,Professionals
Adobe,18.5004188774085,1325,Male,White,Professionals
Adobe,0.349064507120916,25,Male,Black_or_African_American,Professionals
Adobe,9.39681653169506,673,Male,Asian,Professionals
Adobe,0.516615470538956,37,Male,Minorities ,Professionals
Adobe,0.837754817090198,60,Female,Hispanic_or_Latino,Professionals
Adobe,5.62691985478916,403,Female,White,Professionals
Adobe,0.251326445127059,18,Female,Black_or_African_American,Professionals
Adobe,5.47333147165596,392,Female,Asian,Professionals
Adobe,0.279251605696733,20,Female,Minorities ,Professionals
Adobe,0.572465791678302,41,Male,Hispanic_or_Latino,Supportive workers
Adobe,11.7006422786931,838,Male,White,Supportive workers
Adobe,0.404914828260263,29,Male,Black_or_African_American,Supportive workers
Adobe,1.71739737503491,123,Male,Asian,Supportive workers
Adobe,0.279251605696733,20,Male,Minorities ,Supportive workers
Adobe,0.753979335381178,54,Female,Hispanic_or_Latino,Supportive workers
Adobe,5.37559340966211,385,Female,White,Supportive workers
Adobe,0.139625802848366,10,Female,Black_or_African_American,Supportive workers
Adobe,1.13096900307177,81,Female,Asian,Supportive workers
Adobe,0.16755096341804,12,Female,Minorities ,Supportive workers
Airbnb,0.573813249869588,11,Male,Hispanic_or_Latino,Executive and manager
Airbnb,7.77256129368805,149,Male,White,Executive and manager
Airbnb,0.417318727177882,8,Male,Black_or_African_American,Executive and manager
Airbnb,2.8169014084507,54,Male,Asian,Executive and manager
Airbnb,0.573813249869588,11,Male,Minorities ,Executive and manager
Airbnb,0.469483568075117,9,Female,Hispanic_or_Latino,Executive and manager
Airbnb,5.79029733959311,111,Female,White,Executive and manager
Airbnb,0.156494522691706,3,Female,Black_or_African_American,Executive and manager
Airbnb,1.72143974960876,33,Female,Asian,Executive and manager
Airbnb,0.156494522691706,3,Female,Minorities ,Executive and manager
Airbnb,1.35628586332812,26,Male,Hispanic_or_Latino,Professionals
Airbnb,18.3620239958268,352,Male,White,Professionals
Airbnb,0.782472613458529,15,Male,Black_or_African_American,Professionals
Airbnb,14.5539906103286,279,Male,Asian,Professionals
Airbnb,0.938967136150235,18,Male,Minorities ,Professionals
Airbnb,1.72143974960876,33,Female,Hispanic_or_Latino,Professionals
Airbnb,11.1632759520083,214,Female,White,Professionals
Airbnb,0.834637454355764,16,Female,Black_or_African_American,Professionals
Airbnb,8.92018779342723,171,Female,Asian,Professionals
Airbnb,0.573813249869588,11,Female,Minorities ,Professionals
Airbnb,0.99113197704747,19,Male,Hispanic_or_Latino,Supportive workers
Airbnb,5.52947313510694,106,Male,White,Supportive workers
Airbnb,0.417318727177882,8,Male,Black_or_African_American,Supportive workers
Airbnb,1.30412102243088,25,Male,Asian,Supportive workers
Airbnb,0.730307772561294,14,Male,Minorities ,Supportive workers
Airbnb,1.35628586332812,26,Female,Hispanic_or_Latino,Supportive workers
Airbnb,7.981220657277,153,Female,White,Supportive workers
Airbnb,0.312989045383412,6,Female,Black_or_African_American,Supportive workers
Airbnb,1.09546165884194,21,Female,Asian,Supportive workers
Airbnb,0.625978090766823,12,Female,Minorities ,Supportive workers
Apple,0.535029536739559,413,Male,Hispanic_or_Latino,Executive and manager
Apple,5.15079282827236,3976,Male,White,Executive and manager
Apple,0.225411959788579,174,Male,Black_or_African_American,Executive and manager
Apple,1.81236397554151,1399,Male,Asian,Executive and manager
Apple,0.103637682661416,80,Male,Minorities ,Executive and manager
Apple,0.193025183956887,149,Female,Hispanic_or_Latino,Executive and manager
Apple,1.88620582443777,1456,Female,White,Executive and manager
Apple,0.15157011089232,117,Female,Black_or_African_American,Executive and manager
Apple,0.652917400766919,504,Female,Asian,Executive and manager
